し,タイトル,作者・画,作者・原作,掲載誌,13093,完結,ジャンル,タグ,他メディア
あぷさらす,アプサラス ,深山雪男,安部譲二,ヤングサンデー,8,,ドラマ,,
あぶさん,あぶさん,水島新司,,,99,,スポーツ ドラマ,野球,
あぶないはいひーる,あ・ぶ・な・いハイヒール,佐香厚子 ,,,7,,恋愛,,
あぶれもん,あぶれもん,嶺岸信明 ,来賀友志,,4,,ドラマ,麻雀,
あぷろーずかっさい,アプローズ-喝采-,有吉京子 ,,,6,,恋愛,,
あべのせいめい,安倍晴明,真崎春望 ,,ほんとうに怖い童話,3,,歴史,平安時代 陰陽師,
あほうどりのとまりぎ,高井研一郎 ,やまさき十三,,,3,,スポーツ コメディー,ゴルフ,
あぽろのうた,アポロの歌,,,,3,完結,恋愛,,
あほんだら,あほんだら,こしばしげる ,,ヤングチャンピオン,2,,学園 コメディー,,
あほんだら,あほんだら,こしばしげる,,ヤングチャンピオン,1,,,,
あまいあくまがわらう,甘い悪魔が笑う,鳥海ペドロ,,	なかよし,2,,恋愛,,
あまくみんなよ,甘くみんなよ！,森素子 ,,,8,,ドラマ,警察 刑事,
あまぞんべびい,アマゾンベビイ ,石ノ森章太郎,,,2,完結,SF,,
あまやかなはなのけつぞく,甘やかな花の血族,冬森雪湖 ,,,2,,恋愛,,
あみのんすとっぷ,亜未！ノンストップ,北川みゆき,,少女コミック,12,,ドラマ,芸能界 音楽 歌手,
あめりかなんてだいきらい,アメリカなんて大きらい！,高梨みどり,,モーニング,2,,ドラマ,,
あや,AYA,速水翼,,,3,完結,SF,超能力,
あや,AYA,克・亜樹,,,1,,恋愛,,
あやかしこいえまき,あやかし恋絵巻,新條まゆ,,マーガレット,3,,ファンタジー 恋愛,巫女,
あやこ,奇子,手塚治虫 ,,,3,完結,ドラマ,,
あやしのせれす,妖しのセレス,渡瀬悠宇 ,,少女コミック,14,,サスペンス,,
あやのしき,彩の四季,石川サブロウ,青内彰生,,5,,ドラマ ,グルメ フードコーディネーター,
あやほすてすじゅうはっさい,綾。ホステス、18歳。,みづき水脈,藤森直子,デザート,7,,コメディー,風俗 キャバクラ,
あやほすてすにじゅうにさい,綾。ホステス、２２歳。,みづき水脈,,デザート,2,,コメディー,風俗 クラブ,
あゆまゆ,あゆまゆ,鈴野哲次,しおたろう,月刊少年チャンピオン,5,,コメディー,,
あらいぶさいしゅうしんかてきしょうねん,アライブ-最終的進化少年-,あだちとか,河島正,月刊少年マガジン,21,完結,SF,超能力,
あらかわあんだーざぶりっじ,荒川アンダーザブリッジ,中村光,,,12,,コメディー,,
あらくれないと,荒くれKNIGHT,吉田聡,,	ヤングチャンピオン,28,,ドラマ,暴走族 不良,
あらくれないとくろいざんきょうかんけつへん,荒くれKNIGHT　黒い残響完結編,吉田聡 ,,ヤングチャンピオン,3,,ドラマ,暴走族 不良,
あらばすたー,アラバスター,手塚治虫 ,,,2,完結,SF,,
あららぎとっきゅう,アララギ特急,かわぐちかいじ ,,モーニング,3,,ドラマ,,
ありあ,アリア,天野こずえ,,月刊ステンシル,2,,ファンタジー,,
ありーず,アリーズ ,冬木るりか,,	プリンセス,20,,ドラマ,,
ありーずつーよみがえるせいざきゅう,アリーズII　～蘇る星座宮～,冬木るりか,,プリンセス,8,,ドラマ,,
ありえすのおとめたち,アリエスの乙女たち,里中満智子 ,,,8,,恋愛,,
ありおん,アリオン ,安彦良和,,,5,,SF,,
ありさ,ア・リ・サ,すぎ恵美子,,,4,,サスペンス,,
ありさ,ＡＲＩＳＡ ,安藤なつみ,,なかよし,7,,サスペンス,,
ありすとぅえるぶ,ALICE12,新谷かおる,,,1,完結,,,
ありすないんてぃーんす,ありす19th,渡瀬悠宇,,少女コミック,7,,ファンタジー,,
ありときょじん,アリと巨人,手塚治虫 ,,,1,,ドラマ,,
ありんこのうた,アリンコの歌,ちばてつや ,,,3,,ドラマ,教師,
あるくべいん,アルクベイン ,衣谷遊 ,たかしげ宙,ヒーロークロスライン,3,,SF アクション,,
あるご,ALGO！,荻野真 ,,,3,,SF,,
あろえってのうた,アロエッテの歌,犬木加奈子 ,,,7,,ホラー,,
あろまちっくびたーず,アロマチック・ビターズ,桜沢エリカ,,,2,,恋愛,,
あんじぇら,アンジェラ!!,ソラニユホ ,秋山舞子,デザート,3,,恋愛,,
あんじゅうのち,安住の地,山本直樹 ,,,2,,ドラマ,,
あんだーぐらうんど,UNDERGROUND,たがみよしひさ,本橋信宏,ヤングチャンピオン,2,完結,,,
あんたのだいりにん,あんたの代理人,高井研一郎,,,6,,ドラマ,弁護士,
あんどろめだすとーりーず,アンドロメダ・ストーリーズ,竹宮惠子 ,光瀬龍,,3,,SF,,
あんなさんのおまめ,アンナさんのおまめ,鈴木由美子,,Ｋｉｓｓ,6,,コメディー,,
あんはあん,アンはアン,いがらしゆみこ ,,,3,,恋愛,,
あんぱんの,アンパンの。,小橋もと子,,ＢＥ・ＬＯＶＥ,2,,恋愛,,
あんふぃにっしゅどそなた,未完成奏鳴曲,柘植かおる,,,2,,恋愛,,
いーぐる,イーグル,かわぐちかいじ,,,11,,ドラマ,選挙 大統領,
いいこでなんかいられない,いいコでなんかいられない,折原みと,,,1,,,,
いーじー,Ｅａｓｙ！,池沢理美 ,,別冊フレンド,2,,恋愛,,
いいなりきゅうけつき,いいなり!! 吸血姫,草壁レイ,,コミックアライブ,3,,コメディー,吸血鬼,
いいんちょうのひめごと,委員長の秘メゴト,藍川さき,,少女コミック,2,,恋愛,,
いがずきん,伊賀ずきん,たなかのか ,,月刊コミックブレイド,5,,コメディー 歴史,忍者 戦国時代,
いがのかげまる,伊賀の影丸,横山光輝 ,,,15,完結,アクション 時代劇,忍者,
いぎあり,異議あり！,井上恵美子 ,,,3,,ドラマ,弁護士,
いぎょうのかげ,異形の影,東城和実,,,2,,ホラー,,
いくひゃくせいそう,幾百星霜,雁須磨子 ,,,2,,恋愛,,
いけいけさくら,いけいけ！ さくら,雁須磨子 ,,,4,,恋愛,,
いけいなちゅうたっきゅうぶ,行け！稲中卓球部,古谷実 ,,ヤングマガジン,13,完結,コメディー スポーツ,卓球,
いけてるでか,イケてる刑事,佐野タカシ,,ヤングキングキングダム,9,,コメディー,警察 刑事,
いけてるふたり,イケてる２人,佐野タカシ,,	ヤングキング,33,,恋愛 コメディー,,
いけないいんびてーいしょん,ＩＫＥＮＡＩ！　いんびテーション,こしばてつや ,,	ヤングマガジン,12,完結,コメディー,,
いけないこいびとたち,イケナイ恋人たち,くさか里樹,,,2,,恋愛,,
いけないるなせんせい,いけない！ルナ先生,上村純子 ,,月刊少年マガジン,5,,コメディー,,
いけぶくろうえすとげーとぱーく,池袋ウエストゲートパーク,有藤せな,石田依良,ヤングチャンピオン,4,完結 続編あり,,,
いけぶくろうえすとげーとぱーくあーる,池袋ウエストゲートパークR,有藤せな,石田依良,ヤングチャンピオン,2,,,,
いざかやはちべえ,居酒屋八兵衛,杉浦要之介,倉科遼,,1,完結,ドラマ,居酒屋,
いしのはな,石の花,坂口尚 ,,,6,,ドラマ,第二次世界大戦 ポーランド,
いじわるしないで,イジワルしないで！,青木琴美 ,,少女コミック,2,,恋愛,,
いずぁーろんでんせつ,イズァローン伝説,竹宮惠子,,,12,,歴史 ドラマ,,
いたずら,恋愛～いたずら～,立原あゆみ,,,5,,ドラマ,暴力団,
いたずらなきす,イタズラなKiss,多田かおる,,,23,,恋愛,,
いちげきでん,一撃拳,大島やすいち,,,3,,アクション,格闘技 拳法,
いちごとあんず,イチゴとアンズ,加藤友緒 ,,クッキー,5,,恋愛,双子,
いちごましまろ,苺ましまろ,	ばらスィー,,月刊コミック電撃大王,6,,コメディー,,
いちじゅうろうとおらんさま,一十郎とお蘭さま,高見まこ,南條範夫,,3,,時代劇 恋愛,,
いちにのあっほ,１・２のアッホ!!,コンタロウ ,,週刊少年ジャンプ,10,完結,コメディー,野球,
いちにのさんしろう,1・2の三四郎,小林まこと,,週刊少年マガジン,20,完結 続編あり,スポーツ コメディー,ラグビー 柔道 プロレス,
いちばん ,いちばん ,小沢としお,,,6,,スポーツ,野球,
いっかにぶんのいちからのあい,1　1/2からの愛,松久寿仁,伊藤裕作,,4,,ドラマ,風俗,
いっきまんだら,一輝まんだら,手塚治虫,,,2,完結,歴史 ドラマ,中国,
いっしょけんめいはじめくん,いっしょけんめいハジメくん,コンタロウ ,,,17,完結,コメディー,サラリーマン,
いつでもはるか,いつでもはるか,刀根夕子,,,5,,ドラマ,,
いつでもゆめを,いつでも夢を,原秀則,,,6,完結,ドラマ,漫画家,
いっぺい,一平,太田垣康男,,漫画アクション,10,完結,ドラマ,警察 警察官,
いっぽん,いっぽん！,佐藤タカヒロ,,週刊少年チャンピオン,14,完結,スポーツ,柔道,
いっぽんぼうちょうまんたろう,一本包丁満太郎,ビッグ錠,,,33,完結,ドラマ,グルメ 料理人 和食,
いてぃはーさ,イティハーサ,水樹和佳子,,,15,,SF,,
いでじゅう,いでじゅう！,モリタイシ ,,,13,,スポーツ コメディー,柔道,
いとしのえりー,いとしのエリー,高見まこ,,,10,,恋愛,,
いとしのかな,愛しのかな,高見まこ,,,3,,恋愛,,
いとしのくわあんぐりこ,愛しのクワアングリコ,高井研一郎,やまさき十三,,3,完結,スポーツ コメディー,ゴルフ,
いとしのせいさんかくけい,愛しの聖三角形,小越なつえ,,,2,完結,恋愛,,
いとしのちぃぱっぱ,愛しのチィパッパ,北見けんいち,やまさき十三,,20,完結,ドラマ,,
いなづまおふぃす,稲妻オフィス,青乃多万実,,,3,,恋愛,,
いにしえのみどりふかきちに,いにしえの緑深き地に,速水翼,,,2,完結,ドラマ,,
いにしゃるでぃー,頭文字D,しげの秀一,,,77,,ドラマ,レース 車,
いぬ,いぬ,柏木ハルコ,,ヤングサンデー,6,,恋愛,,
いぬがみ,犬神,外薗昌也,,アフタヌーン,14,完結,ファンタジー,動物 犬,
いぬじまこうこうこうしんきょく,犬嶋高校行進曲,小松大幹 ,,ヤングキング,3,完結,ドラマ,不良,
いぬとおじょうさま,犬とお嬢様,私屋カヲル,,,3,,恋愛,,
いぬやしゃ,犬夜叉,高橋留美子,,,56,完結,アクション ファンタジー,,ア
いのせんとげーむ,イノセントGAME,高橋美由紀,,ミステリーボニータ,2,完結,サスペンス,,
いのち,いのち,ももち麗子,,	デザート,5,完結,サスペンス,双子,
いのちのうつわ,いのちの器,上原きみ子,,,55,,ドラマ,医療 産婦人科 医師,ド
いのちのかがやき,命の輝き,吉崎凪,未来,,3,,ドラマ,,
いはーぶのせいかつ,イハーブの生活,小路啓之 ,,アフタヌーン,3,完結,ドラマ,,
いびつ,いびつ ,岡田和人 ,,ヤングチャンピオン,2,完結,恋愛,,
いへいじとわらわ,伊平次とわらわ,坂田靖子 ,,,2,完結,SF,,
いまどき,イマドキ！,渡瀬悠宇 ,,少女コミック,5,,恋愛,,
いもうとはししゅんき,妹は思春期,氏家ト全,,ヤングマガジン,10,,コメディー,,
いらっしゃい,いらっしゃい！,ありさか邦,,,3,,恋愛,,
いりーがるめさいあ,不法救世主,篠原烏童 ,,,6,,時代劇,,
いりゅう,医龍,乃木坂太郎,永井明,ビッグコミックスペリオール,25,完結,ドラマ,医療 外科医,ド
いりょうそうさかん,医療捜査官,長尾文子,酒井直行,	プレイコミック,1,,ドラマ,警察 刑事,
いるげねすこくようのきせき,イルゲネス-黒耀の軌跡-,石据カチル,桑原水菜,月刊コミックアヴァルス,5,,ドラマ,,
いれぶん,イレブン,高橋広,七三太朗,,43,,スポーツ,サッカー,
いれぶんそうる,イレブンソウル,戸土野正内郎 ,,月刊コミックブレイド,10,,SF,,
いろけしゅぎょう,色気修行,横山まさみち,,,4,,コメディー,落語家,
いろこいし,艶恋師,みね武,倉科遼,,3,完結 続編あり,ドラマ,,
いろこいしほうろうへん,艶恋師放浪編,みね武,倉科遼,,5,完結 続編,ドラマ,,
いろどりのころ,彩りのころ,津雲むつみ,,,2,,恋愛,,
いんかまぼろしていこく,インカ幻帝国,高階良子 ,,プリンセス,1,完結,短篇集,,
いんしゅうでんせつ,殷周伝説,横山光輝,,,22,完結,歴史 ドラマ,中国,
いんせくつ,インセクツ ,杉山敏 ,,幻蔵,4,,SF,,
いんどめおとぢゃわん,インド夫婦茶碗,流水りんこ,,本当にあった笑える話,9,,コメディー,国際結婚,
いんぱくと,IMPACT,竜崎遼児 ,坂田信弘,,25,,スポーツ ドラマ,ゴルフ,
ヴぁるきりーぷろふぁいるよんこままんがげきじょう,ヴァルキリープロファイル4コママンガ劇場,アンソロジー,,,9,完結,,,
ヴぁんぱいあせいヴぁーよんこままんがげきじょう,ヴァンパイアセイヴァー4コママンガ劇場,アンソロジー,,,1,完結,,,
うぃーにーどきす,WE NEED KISS,才谷ウメタロウ,,ヤングキング,3,,恋愛,,
ういにんぐちけっと,ウイニング・チケット,小松大幹 ,河村清明,ヤングマガジン,18,,ドラマ,ギャンブル 競馬,
ういんどみる,ウインドミル,橋口たかし,,,11,完結,スポーツ ドラマ,ソフトボール,
うぇいくあっぷ,Wake up！,松浦聡彦 ,,,3,,SF,,
うえきのほうそく,うえきの法則,福地翼,,,16,,ファンタジー コメディー,,
うえきのほうそくぷらす,うえきの法則プラス,福地翼,,,5,,ファンタジー コメディー,,
うえすぎけんしん,上杉謙信,岡村賢二,,,2,完結,歴史 ドラマ,上杉謙信 戦国時代,
うえでぃんぐへようこそ,ウエディングへようこそ,小林博美 ,,,3,,恋愛 ドラマ,結婚式場,
うぇでぃんぐべるさんじゅうご,ウェディングベル35,まつもと史子,,,3,,恋愛,,
うえをしたへのじれった,上を下へのジレッタ,手塚治虫,,,2,完結,SF ドラマ,,
うぉーきんばたふらい,Walkin’Butterfly,たまきちひろ ,,ｅａｓｅ　ＣＯＭＩＣＳ,4,,ドラマ,ファッションモデル,
うぉーくらい,魚CRY,片山誠,小池一夫,,8,完結,ドラマ,,
うきよつやぞうし,浮世艶草子,八月薫,,,3,,時代劇,風俗,
うさぎがはしる,兎が走る,弘兼憲史,小池一夫,,2,完結,ドラマ,,
うさぎがはしる,兎が走る,弘兼憲史 ,小池一夫,,2,完結,ドラマ,警察 刑事,
うさぎちゃんねる,USAGIちゃんねる,すぎ恵美子,,,7,,恋愛,,
うさぎどろっぷ,うさぎドロップ,宇仁田ゆみ,,,9,完結,ドラマ,養子,映 ア
うさぎのたまさぶろう,兎の玉三郎,大島やすいち,小池一夫,,6,完結,,,
うさぎやせいのとうはい,兎野性の闘牌,伊藤誠 ,,,8,,ドラマ,麻雀,
うさたん,ウサ探,御童カズヒコ,,ヒーロークロスライン,2,,コメディー,探偵,
うさひよ,うさひよ,清水アイ,,月刊コミック アヴァルス,2,,コメディー,暴力団,
うしおととら,うしおととら,藤田和日郎,,週刊少年サンデー,33,,ファンタジー,妖怪,
うしのおっぱい,牛のおっぱい,菅原雅雪,,モーニング,5,,ドラマ,酪農 動物 牛,
うしみつのもり,丑三つの森,風間宏子,,プリンセス,4,,ホラー,,
うしろのひゃくたろう,うしろの百太郎,つのだじろう ,,,8,,ホラー,心霊,
うそつきりりぃ,うそつきリリィ,小村あゆみ,,マーガレット,4,,恋愛,,
うだうだやってるひまはねぇ,ウダウダやってるヒマはねェ！,米原秀幸,,	ヤングチャンピオン,21,,コメディー,,
うちのぽちのいうことには,うちのポチの言うことには,橘裕,,LaLa,3,,恋愛,,
うちゅうかぞくかーるびんそん,宇宙家族カールビンソン,あさりよしとお ,,,11,,SF コメディー,,
うちゅうきょうだい,宇宙兄弟,小山宙哉,,モーニング,14,,ドラマ,宇宙 秘中飛行士,
うっちゃれごしょがわら,うっちゃれ五所瓦,なかいま強,,少年サンデー,12,完結,スポーツ ドラマ,相撲,
うっどのーと,ウッド・ノート,小山田いく,,週刊少年チャンピオン,8,,ドラマ,バードウォッチング部 文化部,
うっははーれむがくせいりょう,ウッハ！ハーレム学生寮,松浦まどか,,ヤングマガジン,7,,コメディー,,
うつほぞうし,うつほ草紙,諏訪緑,,,5,,歴史 ファンタジー,,
うぶうぶ,U・BU・U・BU,すぎ恵美子,,	少女コミック,6,,恋愛,,
うぶかわ,ウブかわ,堂本奈央 ,,Cheese!,5,,恋愛,,
うまいはなしにゃさかなあり,美味い話にゃ肴あり,ラズウェル細木,,,6,,ドラマ,グルメ 居酒屋,
うまがゆく,馬がゆく！,石ノ森章太郎,,,5,完結,恋愛,,
うまれてきたから,生まれてきたから,伊藤悶,,,3,,恋愛,,
うみづる,海鶴,森秀樹,,,3,,歴史 ドラマ,,
うみねこていへようこそ,海猫亭へようこそ,村尾忠義 ,剣名舞,,10,,ドラマ,グルメ フランス料理,
うみのおーろら,海のオーロラ,里中満智子,,,7,,歴史 恋愛,エジプト,
うみのたいりくのあ,海の大陸ノア,じゅきあきら,,ボンボン,2,,SF コメディー,,
うみのとりとん,海のトリトン,手塚治虫,,,4,完結,ファンタジー,,
うみのやみつきのかげ,海の闇、月の影,篠原千絵 ,,少女コミック,18,,サスペンス,双子,
うめずかずおこわいほん,楳図かずおこわい本,楳図かずお,,,14,,ホラー,,
うらぴーちがーる,裏ピーチガール,上田美和 ,,別冊フレンド,3,,恋愛,,
うらめしや,うらめしや ,魔木子 ,,,12,,時代劇 ホラー,,
うりゅうどうゆめばなし,雨柳堂夢咄 ,波津彬子 ,,ネムキ,12,,ホラー,,
うるとらせぶん,ウルトラセブン,桑田次郎,,,58,,アクション,,
うるとらぱにっく,ウルトラ・パニック,斎藤岬 ,,ルチル,4,,恋愛 コメディー,生徒会,
うるとらまん,ウルトラマン,一峰大二,,,46,完結,SF アクション,,ド 映
うわさのぼーい,うわさのBOY,みやすのんき ,,,2,,恋愛 コメディー,,
うわさのみどりくん,うわさの翠くん!!,池山田剛 ,,少女コミック,10,,スポーツ,サッカー,
うんかんはるかに,雲漢遥かに,黄十浪 ,,,3,,歴史,中国,
うんめいのきずな,運命の絆,河野やす子,ペニー・ジョーダン,,3,,恋愛,,
えあーよんこままんがげきじょう,AIR4コママンガ劇場,アンソロジー,,,2,完結,４コマ,,
えあぎあ,エア・ギア,大暮維人,,週刊少年マガジン,31,,スポーツ アクション,インラインスケート,
えいえんのぜろ,永遠の0,須本壮一 ,百田尚樹,,2,,サスペンス,,
えいえんのゆめ,永遠の夢,月島綾 ,百音,,2,,恋愛,,
えいじさーてぃーふぁいぶ,Age，35,柴門ふみ,,,2,,恋愛,,
えいち,Ｈ―エイチ―,桜井まちこ,,別冊フレンド,6,,恋愛,,
えいちつー,H2,あだち充,,週刊少年サンデー,34,完結,スポーツ,野球,
えいりあんどおり,エイリアン通り,成田美名子 ,,	LaLa,4,,ドラマ,,
えいりあんないん,エイリアン9,富沢ひとし,,ヤングチャンピオン,3,完結,,,
えーいけんどう,エーイ！剣道,村上もとか,,,3,,スポーツ,剣道,
えーでぃーものがたり,AD物語,国友やすゆき,,,2,,ドラマ,広告 コピーライター,
えがおのひみつ,笑顔のひみつ,倉持知子 ,,,2,,恋愛,,
えきいんじょにー,駅員ジョニー,高橋のぼる,末田雄一郎,モーニング,7,,ドラマ,鉄道 鉄道員,
えきぞーすとうるふ,餓狼（エキゾーストウルフ）,森左智 ,,ヤングキング,2,,ドラマ,暴走族 バイク,
えきどな,エキドナ ,冬木るりか,,	プリンセス,5,,ファンタジー,悪魔,
えきべんひとりたび,駅弁ひとり旅,はやせ淳,櫻井寛,漫画アクション,10,,ドラマ,グルメ 鉄道 駅弁,
えくすぷろーらーうーまんれい,EXPLORER WOMAN RAY,岡崎武士 ,,,2,,アクション,考古学,
えくせるさーが,エクセル・サーガ,六道神士 ,,ヤングキングアワーズ,8,,コメディー,,
えくそしすたーまりあ,エクソシスターマリア,井萩寿一,,ヤングチャンピオン,2,完結,,,
えこえこあざらく,エコエコアザラク,古賀新一,,週刊少年チャンピオン,19,完結 続編あり,ホラー,黒魔術,
えこえこあざらくつー,エコエコアザラク２,古賀新一 ,,週刊少年チャンピオン,6,完結 続編,ホラー,黒魔術,
えす,ＥＳ,惣領冬実 ,,モーニング,8,,SF,超能力,
えす,S,水城せとな,,プリンセス,3,,スポーツ,バドミントン,
えすおーえす,Ｓ・Ｏ・Ｓ,細野不二彦 ,,漫画アクション,2,,サスペンス,,
えすとえむ,ＳとＭ,村生ミオ,,,19,,サスペンス,,
えすぴー,SPセキュリティポリス,国友やすゆき,,,3,,ドラマ,警察 刑事 SP,
えすぷりと,エスプリト ,筒井大志 ,,月刊コミックブレイド,7,,ファンタジー アクション,,
えすぺらんさ,エスペランサ ,かわい千草 ,,,3,,恋愛,,
えっちすりーすくーる,H3スクール！,高田りえ,,少女コミック ,5,,恋愛,,
えでんのき,エデンの樹,河野やす子,,,5,,ドラマ,,
えでんのとりる,楽園のトリル,藤田麻貴 ,,プリンセス,8,,ドラマ,,
えどまえのしゅん,江戸前の旬,さとう輝,九十九森,,60,,ドラマ,グルメ 寿司,
えのしまじょしこうらぐびーぶ,江の島女子高ラグビー部！！,くじらいいく子,,ヤングマガジン,1,完結,スポーツ,ラグビー,
えのもと,えの素,榎本俊二 ,,	モーニング,9,,コメディー,,
えぴろーぐのあとで,エピローグのあとで,くさか里樹,,,4,,恋愛,,
えふ,F,六田登 ,,,28,完結 続編あり,スポーツ ドラマ,モータースポーツ レース,
えぼとらんすまい,エポトランス！舞,渡瀬悠宇 ,,,2,,ファンタジー,,
えむえむあーるまがじんみすてりーちょうさはん,MMRマガジンミステリー調査班,石垣ゆうき,,週刊少年マガジン,13,完結,ミステリー,超常現象,
えむぜろ,エム×ゼロ,叶恭弘,,週刊少年ジャンプ,10,完結,学園 ファンタジー,,
えらん,エラン,新谷かおる,,,3,完結,,,
えりあえいてぃーえいと,エリア88,新谷かおる,,,23,完結,戦争 アクション,戦闘機 傭兵,ア ゲ
えりあのきし,エリアの騎士,月山可也 ,伊賀大晃,週刊少年マガジン,24,,スポーツ,サッカー,
えりあはちじゅうはち,エリア88,新谷かおる,,月刊コミックフラッパー,13,完結,ドラマ,戦争 傭兵 パイロット 戦闘機 飛行機,
えりーとやんきーさぶろう,エリートヤンキー三郎,阿部秀司 ,,ヤングマガジン,26,完結 続編あり,コメディー,不良,
えりーとやんきーさぶろうだいにぶ,エリートヤンキー三郎　第２部,阿部秀司 ,,ヤングマガジン,25,続編,コメディー,不良,
える,エル,高橋美由紀 ,,ミステリーボニータ,11,,ファンタジー,,
えるでぃーけー,Ｌ・ＤＫ,渡辺あゆ,,別冊フレンド,4,,恋愛,,
えれめんたるじぇれいど,EREMENTAR GERAD,東まゆみ,,	月刊コミックブレイド,18,完結 続編あり,アクション ファンタジー,,
えれめんたるじぇれいどそうくうのせんき,EREMENTAR GERAD　-蒼空の戦旗-,東まゆみ,,月刊コミック アヴァルス,6,続編,アクション ファンタジー,,
えろいかこうていなぽれおん,エロイカ　－皇帝ナポレオン－,池田理代子 ,,,12,完結,歴史 ドラマ,フランス ナポレオン,
えんげきぶごふんまえ,演劇部5分前,百名哲,,,1,,コメディー,文化部 演劇部,
えんじぇりっくるーん,エンジェリック・ルーン,立野真琴 ,,,3,,ファンタジー,,
えんじぇる,エンジェル ,高瀬由香 ,,,6,,恋愛,,
えんじぇるこうこう,エンジェル高校,犬上すくね,,,3,,ファンタジー,,
えんじぇるしーずんつー,ANGEL SEASON II,遊人 ,,,5,,恋愛,,
えんじぇるにっし,エンジェル日誌,ごとう和,,	ＢＥ・ＬＯＶＥ,3,,ドラマ,医療 産婦人科 看護師,
えんじぇるのこどう,エンジェルの鼓動,もんでんあきこ ,,,2,,ドラマ,医療 産婦人科 助産婦,
えんじぇるはーと,エンジェル・ハート,北条司 ,,バンチ,21,続編,アクション,,
えんじぇるぼいす,ANGEL VOICE,古谷野孝雄 ,,週刊少年チャンピオン,7,,スポーツ,サッカー,
えんじょいあきらせんせい,エン女医あきら先生,水城まさひと,,まんがタイムジャンボ,7,完結,4コマ,医療 外科医,
えんじんとらぶる,円陣とらぶる！,夢来鳥ねむ,有里紅良,,3,,ファンタジー,,
えんぜるのおか,エンゼルの丘,手塚治虫,,,2,完結,ファンタジー,,
えんぜるばんく,エンゼルバンク,三田紀房 ,,モーニング,14,,ドラマ,転職代理人,
えんぶりを,エンブリヲ,小川幸辰 ,,アフタヌーン,3,完結,SF,,
えんぶれむていくつー,代紋TAKE2,渡辺潤,木内 一雅,,62,完結,ドラマ SF,暴力団 タイムスリップ,
おいこみやぎんじ,追い込み屋銀次,佐藤良治 ,,バンチ,2,,ドラマ,金融 取り立て屋,
おいしいこーひーのいれかた,おいしいコーヒーのいれ方,村山由佳,,,9,,,,
おいしんぼ,美味しんぼ,花咲アキラ,雁屋哲,,107,,ドラマ,新聞記者 グルメ,
おいらんねえさん,おいらん姐さん,鈴木あつむ,,,5,,時代劇,風俗 花魁,
おうからんまん,桜花らんまん,くさか里樹,,,7,,ドラマ,遊園地の乗り物デザイナー,
おうけのもんしょう,王家の紋章,細川智栄子,,,56,,ファンタジー,タイムスリップ,
おうとようきたん,王都妖奇譚,岩崎陽子 ,,	プリンセスGOLD,12,,歴史 ファンタジー,平安時代 陰陽師 安倍晴明,
おうどろぼうじん,王ドロボウJING,熊倉裕一,,	コミックボンボン,7,完結 続編あり,ファンタジー,泥棒,
おうらんこうこうほすとくらぶ,桜蘭高校ホスト部,葉鳥ビスコ,,LaLa,18,,コメディー,,
おうりついんくもまるのしょうがい,王立院雲丸の生涯,池上遼一 ,広井王子,,2,,ドラマ,,
おおあざあざばさらちゅうざいしょ,大字・字ばさら駐在所,うえやまとち ,,モーニング,4,,コメディー,,
おおいなるかん,大いなる完,本宮ひろ志,,モーニング,4,,ドラマ,,
おーいりょうま,お～い！竜馬,小山ゆう,武田鉄矢,,23,完結,歴史,幕末 坂本龍馬,
おーえどむすめにんじゃ,おーえど娘忍者,私屋カヲル,,,3,,コメディー,忍者,
おーえるヴぃじゅあるけい,ＯＬヴィジュアル系,かなつ久美,,モーニング,10,,ドラマ,OL,
おーえるしんかろん,ＯＬ進化論,秋月りす,,モーニング,5,完結,４コマ,OL,
おおかみおとこにきをつけて,オオカミ男に気をつけて！,武内昌美 ,,,3,,ファンタジー,透明人間 狼男 吸血鬼,
おおかみへいかのはなよめ,狼陛下の花嫁,可歌まと,,LaLa,4,,恋愛,,
おおきくふりかぶって,おおきく振りかぶって,ひぐちアサ,,アフタヌーン,17,,スポーツ ドラマ,野球,
おーくしょんはうす,オークション・ハウス,叶精作 ,小池一夫,,30,完結,ドラマ,オークションハウス 美術,
おーけいじぱい,Ｏｈ！刑事パイ,望月三起也 ,,,4,,コメディー,警察 刑事,
おおさかはむれっと,大阪ハムレット,森下裕美 ,,,4,,コメディー,,
