し,タイトル,作者・画,作者・原作,掲載誌,13093,完結,ジャンル,タグ,他メディア
おおさかまめごはん,大阪豆ゴハン,サラ・イイネス,,モーニング,12,,コメディー,,
おーだーめいど,Ｏｒｄｅｒ‐Ｍａｄｅ,高梨みどり,,モーニング,7,,ドラマ,仕立て屋 ファッション,
おーとうめいにんげん,Oh！透明人間,中西やすひろ,,月刊少年マガジン,11,完結,SF コメディー,透明人間,
おーとくちゅーる,オートクチュール ,遠藤佳世,ジョアン・ロス,,4,,恋愛,ファッション ﾃﾞｻﾞｲﾅｰ,
おおとり,鳳,渡辺みちお,神尾龍,,13,,ドラマ,暴力団,
おーぱんたくぼーい,OHパンタクBOY,みやすのんき ,,,3,完結,コメディー,,
おーびーにほんいちあぶないごるふぁー,OB日本一危ないゴルファー,大島やすいち,小林一人,,1,,スポーツ,ゴルフ,
おおぼらいちだい,大ぼら一代,本宮ひろ志,,週間少年ジャンプ,11,完結,学園ドラマ,,
おーまいだーりん,Oh！myダーリン,上田美和 ,,別冊フレンド,8,,恋愛,,
おーまいぷりんす,Oh! my プリンス,武藤啓 ,,プリンセス,3,,恋愛,,
おーるどぼーい,オールド・ボーイ,嶺岸信明 ,土屋ガロン,	漫画アクション,8,,ドラマ,復讐,
おーるらうんだーめぐる,オールラウンダー廻,遠藤浩輝,,,7,,スポーツ ドラマ,格闘技 総合格闘技,
おーれ,オーレ！,能田達規 ,,バンチ,5,,スポーツ,サッカー,
おかあしゃんへのらぶれたー,お母しゃんへのラブレター,さかもとみゆき ,,,3,,コメディー,,
おかしなふたり,おかしな２人,さだやす圭 ,やまさき十三,モーニング,16,完結,コメディー,暴力団,
おかみさん ,おかみさん ,一丸 ,,,17,,スポーツ ドラマ,相撲,
おがわとゆかいなさいとうたち,小川とゆかいな斎藤たち,茶匡 ,,なかよし,7,,コメディー,,
おかわりはんぞう,おかわり飯蔵,大谷じろう,魚柄仁之助,ヤングサンデー,11,,ドラマ,グルメ 編集者,
おきにめすまま,お気に召すまま,布浦翼 ,,ＢＥ・ＬＯＶＥ,6,,恋愛 コメディー,,
おきのさわぐらふぃてぃ,沖ノ澤グラフィティ,庄司陽子 ,,ＢＥ・ＬＯＶＥ,3,,恋愛,,
おくさまでないと,奥さまＤＥナイト,琴の若子,,,5,,コメディー,,
おくさまはくのいち,奥様は女忍者,井上恵美子 ,,,2,,アクション,忍者,
おくさまはごーすと,奥様はGHOST,ふみづきあんず ,,,4,,ファンタジー,幽霊,
おこしやす ,おこしやす ,久保田順子 ,,,3,,コメディー,,
おこじょさん,オコジョさん,宇野亜由美 ,,LaLa,8,,コメディー,動物 オコジョ,
おさなづま ,おさなづま ,あきやまひでき ,森高夕次,漫画アクション,10,,コメディー,漫画家,
おしごとです,お仕事です!,柴門ふみ,,,5,,ドラマ,建設,
おしゃべりなあまでうす,おしゃべりなアマデウス,武内昌美 ,,少女コミック,12,,ドラマ,音楽 バイオリン,
おじゃるまるよんこままんがげきじょう,おじゃる丸4コママンガ劇場,アンソロジー,,,1,完結,４コマ,,
おじょうさましゃちょうがゆく,お嬢様社長がゆく！,井上恵美子 ,,,4,,ドラマ,便利屋,
おじょうさまはおじょうさま,お嬢様はお嫁様。,葉月めぐみ,,マーガレット,6,,恋愛,,
おじょうだん,お嬢だん,中尊寺ゆつこ,,,2,完結,コメディー,OL,
おすからてぶ,押忍！！空手部,高橋幸二,,,43,完結,スポーツ コメディー,空手,映
おずまたいちょう,オズマ隊長,手塚治虫 ,,,5,,SF,,
おだのぶなが,織田信長,ケン月影,久保田千太郎,,3,完結,歴史,戦国時代 織田信長,
おだのぶなが,織田信長 ,横山光輝 ,山岡荘八,,6,完結,歴史,戦国時代 織田信長,
おちゃにごす,お茶にごす。,西森博之,,週刊少年サンデー,11,完結,学園 コメディー,文化部 茶道部,
おちゃのま,お茶の間,望月峯太郎 ,,,3,完結 続編,コメディー,,
おっず,Odds ,石渡治 ,,ヤングサンデー,10,完結 続編あり,スポーツ,自転車 競輪,
おっずじーぴー,Odds　GP！,石渡治 ,,,4,完結 続編,スポーツ,自転車 競輪,
おっすしょうりんじ,オッス！ 少林寺,菊田洋之 ,,,7,,スポーツ,格闘技 少林寺拳法,
おっずぷらすわん,Odds ＋1,石渡治 ,,ヤングサンデー,1,続編,スポーツ,自転車 競輪,
おっとすごろく,夫すごろく,堀内三佳 ,,,7,,コメディー,,
おでっせい,オデッセイ ,池上遼一 ,史村翔,,3,,ドラマ,政治,
おでん,おでん,なかにしやすひろ,,,1,,ドラマ,,
おてんきおねえさん,お天気お姉さん,安達哲 ,,ヤングマガジン,8,,コメディー,芸能界 気象予報,
おとぎのまちのれな,おとぎのまちのれな ,はっとりみつる ,,アッパーズ,7,,コメディー,,
おとぎもようあやにしき,お伽もよう綾にしき,ひかわきょうこ ,,LaLa,5,,歴史 ファンタジー,,
おとこいっぴきがきだいしょう,男一匹ガキ大将,本宮ひろ志,,週間少年ジャンプ,11,完結,ドラマ,不良,
おとこぎ,男樹,本宮ひろ志,,	ビッグコミック,6,完結 続編あり,ドラマ,暴力団,ド
おとこぎよんだいめ,男樹四代目,本宮ひろ志,,オールマン,4,続編,ドラマ,暴力団,
おとこぐい,おとこ喰い,向後つぐお,伊東恒久,,10,,ドラマ,風俗 ソープランド,
おとこのせいざ,男の星座,原田久仁信 ,梶原一騎,,5,完結,ドラマ,,
おとこみち,おとこ道,矢口高雄 ,梶原一騎,,2,完結,ドラマ,,
おとなしげんじゅう,音無し幻十,さいとうたかを,,,2,完結,時代劇,,
おとなのじかん,おとなの時間,山田こもも,,Cheese!,7,,恋愛,,
おとぼけかちょう,おとぼけ課長,植田まさし,,,15,完結,４コマ,サラリーマン,
おとめういるす,乙女ウイルス,鈴菌カリオ,,,3,,SF,,
おとめようかいざくろ,おとめ妖怪ざくろ,星野リリィ,,	月刊コミックバーズ,4,,ホラー,妖怪,
おともだちでいこう,お友達で行こう！,松苗あけみ,,,4,,恋愛,,
おとやん,音やん,中村博文 ,,漫画アクション,2,,ドラマ,グルメ 寿司,
おどるすぽーつまんやす,踊るスポーツマンヤス,ロドリゲス井之介,,ヤングサンデー,4,,コメディー,,
おなじつきをみている,同じ月を見ている,土田世紀 ,,,7,,ドラマ,,
おに,男弐,伊賀和洋 ,小池一夫,,10,完結,歴史 ドラマ,山本勘介 服部半蔵 新撰組,
おにいさまへ,おにいさまへ…,池田理代子 ,,,3,完結,学園ドラマ,,
おにいちゃんといっしょ,お兄ちゃんと一緒,時計野はり,,	LaLa,11,,恋愛,,
おにきりまる,鬼切丸,楠桂 ,,,20,,歴史 ホラー,,
おにへいはんかちょう,鬼平犯科帳,さいとうたかを,池波正太郎,,84,,時代劇,火付盗賊改方 盗賊,
おにまるたいしょう,鬼丸大将,手塚治虫 ,,,2,完結,歴史,平安時代,
おねいちゃんといっしょ ,おねいちゃんといっしょ ,みなと鈴,,別冊フレンド,5,,ドラマ,,
おばあちゃんはあいどる,おばあちゃんはアイドル,菊池久美子 ,,	プリンセス,4,,ファンタジー,,
おばかちゃんこいかたりき,おバカちゃん、恋語りき,佐藤ざくり,,	マーガレット,7,,ドラマ,,
おびをぎゅっとね,帯をギュッとね!,河合克敏,,週刊少年サンデー,30,完結,スポーツ ドラマ,柔道,
おふぁーど,オファード ,池上遼一 ,小池一夫,,4,完結,ドラマ,,
おふぃすほっきょくせい,オフィス北極星,中山昌亮 ,真刈信二,モーニング,10,完結,ドラマ,リスクマネージメント,
おふぃすめいと,オフィスメイト ,こやまゆかり ,,,3,,ドラマ,OL,
おぺれーしょんじーじー,オペレーションＧ．Ｇ．,さいとうたかを,,	リイドコミック,5,完結,アクション,,
おぺれーしょんじーじー,OPERATION G.G.,さいとうたかを,,,5,完結,,,
おぼれたい,お・ぼ・れ・た・い,吉原由起 ,,,6,,恋愛,,
おぼれるないふ,溺れるナイフ,ジョージ朝倉,,別冊フレンド,10,,恋愛,,
おまかせすぴりっつ,おまかせ精霊,青本もあ,,月刊コミックアライブ,4,,ファンタジー,,
おまかせぴーすでんきてん,おまかせ！ピース電器店,能田達規 ,,週刊少年チャンピオン,11,,ドラマ,電気店,
おまけのこばやしくん,おまけの小林クン,森生まさみ,,LaLa,16,,学園 コメディー,,
おまたかおる,オマタかおる,鈴木由美子 ,,ヤングマガジン,2,,コメディー,デパートガール,
おみおくりいたします,お見送りいたします,円山みやこ,,,6,,ドラマ,葬儀屋,
おむかえです,お迎えです。,田中メカ,,,3,,ファンタジー,幽霊,
おむらいす,オムライス,星里もちる,,,5,,コメディー,,
おめがとらいぶ,オメガトライブ ,玉井雪雄 ,,,14,完結 続編あり,SF,,
おもひでぽろぽろ ,おもひでぽろぽろ ,刀根夕子 ,岡本螢,,2,,ドラマ,,ア
おやまきくのすけ,オヤマ！菊之助,瀬口たかひろ,,週刊少年チャンピオン,25,,学園 コメディー,歌舞伎 女形,
おやゆびひめ,オヤユビヒメ∞,藤枝とおる,,,6,,,,
おりゅうじょうえん,お柳情炎,長田要 ,団鬼六,,2,,ドラマ,博徒,
おるちゅばんえびちゅ,おるちゅばんエビちゅ,伊藤理佐 ,,	アクションピザッツ,15,,コメディー,動物 ハムスター,
おるふぇうすのまど,オルフェウスの窓,池田理代子 ,,,18,,ドラマ,ドイツ,
おれいはみてのおかえり,お礼は見てのお帰り,石川優吾 ,,,10,,ドラマ,,
おれがたいしょう,おれが大将,大島やすいち,,,8,,学園 ドラマ,,
おれとあくまのぶるーず,俺と悪魔のブルーズ,平本アキラ,,	アフタヌーン,3,,ドラマ,音楽 ブルース,
おれのしんせんぐみ,俺の新選組,望月三起也 ,,,5,,歴史 ドラマ,幕末 新選組,
おれのそら,俺の空,本宮ひろ志,,週刊プレイボーイ,9,完結 続編あり,ドラマ,,
おれのそらけいじへん,俺の空刑事編,本宮ひろ志,,ヤングジャンプ,7,完結 続編 続編あり,ドラマ,警察 刑事,
おれのそらさんしろうへん,俺の空三四郎編,本宮ひろ志,,ヤングジャンプ,8,完結 続編 続編あり,スポーツ,柔術,
おれのそらぜろさん,俺の空’０３,本宮ひろ志,,ビジネスジャンプ,3,完結 続編 続編あり,ドラマ,,
おれのそらばーじょんにせんいち,俺の空Ver2001,本宮ひろ志,,	オールマン,3,完結 続編,ドラマ,,
おれはきゃぷてん,おれはキャプテン,コージィ城倉,,,26,,スポーツ,野球,
おれはさるとびだ,おれは猿飛だ！,手塚治虫,,,2,完結,,忍者,
おれはちょっかく,おれは直角,小山ゆう,,,14,完結,,時代劇,
おれはてっぺい,おれは鉄兵,ちばてつや ,,,33,完結,スポーツ,剣道,ア
おれぶし,俺節,土田世紀 ,,,9,完結,ドラマ,芸能界 歌手 演歌,
おれんじ,オレンジ,能田達規 ,,週刊少年チャンピオン,13,,スポーツ,サッカー,
おろち,おろち,楳図かずお,,,4,完結,ホラー,,映
おんえあ,オン・エア,池田さとみ,,,3,,ドラマ,芸能界 ニュースキャスター,
おんざてぃ,オンザティ,本宮ひろ志,高橋三千網,ヤングチャンピオン,1,完結,,,
おんせんりょかんさわのや,温泉旅館沢野屋,ありさか邦,,,8,,ドラマ,温泉旅館,
おんぞうしのおきて,御曹司の掟,井川公彦,堀戸けい,,5,,ドラマ,,
おんなかんさつい,女監察医,井出智香恵 ,,,4,完結,サスペンス,監察医,
おんなけんじれおな,女検事玲緒奈,たむろ未知,北原雄二,,8,,ドラマ,検事,
おんなたちのみやこ,女たちの都,松苗あけみ,,,3,,恋愛,,
おんなのこのしょくたく,女の子の食卓,志村志保子 ,,クッキー,6,,,,
かいおうき,海皇紀,川原正敏,,,45,完結,ファンタジー アクション,,
かいとうしゅがー,怪盗シュガー,さいとうたかを,,,12,完結,アクション,泥棒,
かいのとらたけだしんげん,甲斐の虎武田信玄,小島剛夕,小池一夫,,4,完結,歴史,戦国時代 武田信玄,
がくえんありす,学園アリス,樋口橘,,学園アリス,25,,学園 ファンタジー,,
かくごのすすめ,覚悟のススメ,山口貴由,,,11,,,,
かげがり,影狩り,さいとうたかを,,,15,完結,時代劇 アクション,,
かじょう,花縄,森秀樹 ,小池一夫,,6,完結,時代劇,,
かぜのくろのあよんこままんがげきじょう,風のクロノア4コママンガ劇場,アンソロジー,,,1,完結,４コマ,,
かぜのだいち,風の大地,かざま鋭二,坂田信弘,,54,,スポーツ ドラマ,ゴルフ,
かぜのたにのなうしか,風の谷のナウシカ,宮崎駿,,アニメージュ,7,完結,ファンタジー,,ア
かぜよくもよけんよ,風よ雲よ剣よ,さいとうたかを,,,5,完結,時代劇,,
かたなげしょう,刀化粧,神田 たけ志,小池一夫,,3,完結,時代劇,,
かってにかいぞう,かってに改蔵,久米田康治,,週刊少年サンデー,26,完結,学園 ギャグ,,
がっでむ,ガッデム,新谷かおる,,,4,完結,スポーツ,モータースポーツ ラリー,
かっとびいっと,かっとび一斗,門馬もとき,,,46,完結 続編あり,スポーツ コメディー,サッカー,
かのんよんこままんがげきじょう,Kanon4コママンガ劇場,アンソロジー,,,3,完結,４コマ,,
かみのみぞしるせかい,神のみぞ知るセカイ,若木民喜,,週刊少年サンデー,14,,恋愛 コメディー,,ア
かめらまんすんぜん,カメラマン寸前,さいとうたかを,,,2,完結,ドラマ,カメラマン,
かめれおん,カメレオン,加瀬あつし,,,47,完結,コメディー,不良,ア
かめんらいだーすぴりっつ,仮面ライダーSPIRITS,村枝賢一,石ノ森章太郎,月刊マガジンZ,16,,,,
からくりさーかす,からくりサーカス,藤田和日郎,,,43,完結,アクション ファンタジー,,
がらすのかめん,ガラスの仮面,美内すずえ,,,47,,ドラマ,演劇,ド
かりあげくん,かりあげクン,植田まさし,,,50,完結,4コマ,サラリーマン,
かるいざわしんどろーむすぷらうと,軽井沢シンドロームSPROUT,たがみよしひさ,,ヤングチャンピオン,2,,,,
かれーなるしょくたく,華麗なる食卓,ふなつ一輝,,週刊ヤングジャンプ,42,,ドラマ,グルメ カレー,
かわいてそうろう,乾いて候,小島剛夕,小池一夫,,7,完結,時代劇,,
かんさついさよこ,監察医SAYOKO,安富高史,,ヤングチャンピオン,5,完結,ドラマ,医療 監察医,
がんそやすうらてっきんかぞく,元祖!浦安鉄筋家族,浜岡賢次 ,,週刊少年チャンピオン,28,完結 続編 続編あり,コメディー,,
がんつ,GANTZ,奥浩哉,,週刊ヤングジャンプ,32,,SF,,ア 映
がんぱれーどまーちよんこままんがげきじょう,ガンパレード・マーチ4コママンガ劇場,アンソロジー,,,5,完結,４コマ,,
がんばれどりんかーず,がんばれドリンカーズ,水島新司,,ヤングチャンピオン,2,完結,,野球,
きかいだーこーどぜろつー,キカイダー02,石ノ森章太郎,,,7,完結,SF アクション,,
きずおいびと,傷追い人,池上遼一,小池一夫,,11,完結,,復讐,
きせいじゅう,寄生獣,岩明均,,月刊アフタヌーン,10,完結,SF,,
きてぃーほーかー,キティ・ホーカー,さいとうたかを,,,1,完結,,,
きどうせんしくろすぼーんがんだむ,機動戦士クロスボーンガンダム,長谷川裕一,	富野由悠季,	月刊少年エース,6,完結,SF アクション,,
きどうせんしくろすぼーんがんだむがいでん,機動戦士クロスボーン・ガンダム外伝,長谷川裕一,,	月刊少年エース,1,完結,SF アクション,,
きどうせんしくろすぼーんがんだむこうてつのしちにん,機動戦士クロスボーン・ガンダム鋼鉄の7人,長谷川裕一,,	月刊少年エース,3,完結,SF アクション,,
きみとぼく,君と僕。,堀田きいち,,月刊少年ガンガン,10,,ギャグ,,ア
ぎゃぐまんがびより,ギャグマンガ日和,増田こうすけ,,ジャンプスクエア,12,,ギャグ,,ア
きゃすと,キャスト,江口賢一,菅生 誠司,ヤングチャンピオン,4,完結,,釣り,
きゃっとでぃふぇんす,キャットディフェンス,政岡としや,小池一夫,,3,完結,時代劇,丹下左膳,
きゅーいーでぃーしょうめいしゅうりょう,Q.E.D.証明終了,加藤元浩,,月刊少年マガジン＋,40,,ミステリー,,ド
きょうかしょにないっ,教科書にないッ！,岡田和人,,ヤングチャンピオン,18,完結,,,
きょうからおれは,きょうからおれは ,西森博之,,週刊少年サンデー,38,完結,学園 コメディー,不良,ド ア
ぎょうせいき,暁星記,菅原雅雪,,モーニング,8,完結,SF,,
きよむらくんとすぎのこうじくんと,清村くんと杉小路くんと,土塚理弘,,月刊少年ガンガン,4,完結,ギャグ スポーツ,サッカー,
ぎんがでんせつうぃーど,銀牙伝説ウィード,高橋よしひろ,,,60,,ドラマ,動物 犬,
きんぐおぶばんでぃとじん,KING OF BANDIT JING,熊倉裕一,,月刊マガジンZ,7,完結,ファンタジー,泥棒,
きんぞーのあがってなんぼ,キンゾーの上ってなンボ!!,叶精作,小池一夫,,8,完結 続編あり,スポーツ ドラマ,ゴルフ,
きんにくまん,キン肉マン,ゆでたまご,,週刊少年ジャンプ,37,完結 続編あり,コメディー スポーツ,プロレス,ア
きんにくまんにせい,キン肉マンII世,ゆでたまご,,週刊プレイボーイ,29,完結 続編 続編あり,コメディー スポーツ,プロレス,ア
きんにくまんにせいだいにぶ,キン肉マンII世第二部,ゆでたまご,,,27,続編,コメディー スポーツ,プロレス,
くおヴぁでぃす,QUO VADIS,新谷かおる,,,9,,,,
くぐつ,傀儡,さいとうたかを,,,5,完結,時代劇,,
くじゃくおうでんき,孔雀王伝奇,小島剛夕,小池一夫,,2,完結,,,
くっきんぐぱぱ,クッキングパパ,うえやまとち,,,116,,コメディー,グルメ,
くびきりあさ,首斬り朝,小島剛夕,小池一夫,週刊現代,10,完結,時代劇 ドラマ,公儀お様し役 山田朝右衛門,
くもとりざんぺい,雲取り暫平,さいとうたかを,,リイドコミック,26,完結 続編あり,時代劇 アクション,泥棒,
くらいんぐふりーまん,クライング・フリーマン,池上遼一,小池一夫,ビッグコミックスピリッツ,10,完結,アクション,殺し屋 香港,ア 映
ぐらっぷらーばき,グラップラー刃牙,板垣恵介,,週刊少年チャンピオン,42,完結 続編あり,格闘 ドラマ,,
くらなどよんこままんがげきじょう,CLANNAD4コママンガ劇場,アンソロジー,,,1,完結,４コマ,,
ぐらんでぃあえくすとりーむよんこままんがげきじょう,グランディア エクストリーム4コママンガ劇場,アンソロジー,,,1,完結,４コマ,,
ぐらんでぃあよんこままんがげきじょう,グランディア4コママンガ劇場,アンソロジー,,,1,完結,４コマ,,
くりすてぃーはいてんしょん,クリスティーハイテンション,新谷かおる,,コミックフラッパー,7,完結 続編あり,ミステリー,イギリス,
くれいもあ,CLAYMORE,八木教広,,ジャンプスクエア,20,,ファンタジー,,
くれおぱとらでぃーしー,クレオパトラD.C.,新谷かおる,,,8,完結,,,
くれよんしんちゃん,クレヨンしんちゃん,臼井儀人,,,50,,コメディー,幼稚園,ア ゲ
くろこのばすけ,黒子のバスケ,	藤巻忠俊,,週刊少年ジャンプ,14,,スポーツ,バスケットボール,ア
くろのくるせいど,クロノクルセイド,森山大輔,,月刊コミックドラゴン,8,完結,ドラマ,,ア
けいのせいしゅん,ケイの凄春,小島剛夕,小池一夫,,8,完結,時代劇 スポーツ ドラマ,水泳,
けいりんやろうしゅうとかずみのらぶすとーりー,ケイリン野郎・周と和美のラブストーリー,くさか里樹,,,56,完結,ロマンス スポーツ,競輪 自転車,
けーつー,K2,真船一雄,,イブニング,15,続編,ドラマ,医療 外科,
げーむぼーいぎゃらりーよんこままんがげきじょう,ゲームボーイギャラリー4コママンガ劇場,アンソロジー,,,1,完結,４コマ,,
げきがしょうせつよしだがっこう,劇画小説吉田学校,さいとうたかを,,,17,完結,歴史,政治家,
げきがにんげんかくめい,劇画人間革命,石井いさみ,池田大作,,56,完結,ドラマ,,
げたをはくまで,下駄を履くまで,叶精作,小池一夫,,2,完結,ドラマ,テーブルゲーム 麻雀,
けっかいし,結界師,田辺イエロウ,,週刊少年サンデー,35,完結,ファンタジー,妖怪,ア
けっとうしんせんぐみ,血闘!新選組,さいとうたかを,,,2,完結,歴史,新撰組,
げてんろう,外天楼,石黒正数,,メフィスト,1,,ミステリー,,
けろろぐんそう,ケロロ軍曹,吉崎観音,,月刊少年エース,22,,SF コメディー,,ア
けんかだいこうやあおいりゅうのすき,喧嘩代行屋青井龍之介,門間剛,溜池ゴロー,,1,,ドラマ,,
けんきゃくしょうばい,剣客商売,さいとうたかを,,,11,,時代劇,剣術,
けんきゃくしょうばい,剣客商売,さいとうたかを,,,11,,時代劇,,
げんしけん,げんしけん,木尾士目,,月刊アフタヌーン,10,,コメディー,おたく,ア
けんしん,拳神,,,,19,簡潔,スポーツ ドラマ,ボクシング,
ごう,GO,近藤佳文,金城一紀,ヤングチャンピオン,3,,,,
こうぎょうあいかばれーぼーいず,工業哀歌バレーボーイズ,村田ひろゆき,,,50,完結,コメディー,,
こうこうせいじだいひかえ,高校生無頼控,芳谷圭児,小池一夫,,5,完結,,,
ごーすとすいーぱーみかみごくらくだいさくせん,GS美神極楽大作戦!!,椎名高志,,週刊少年サンデー,39,完結,ファンタジー,幽霊 妖怪,ア
こーたろーまかりとおる,コータローまかりとおる!,蛭田達也,,,59,,コメディー,,
こしたんたん,虎視眈々,神江里見,小池一夫,,3,完結,歴史,戦国時代,
こちらかつしかくおめありこうえんまえはつしゅしょ,こちら葛飾区亀有公園前派出所,秋本 治,,,176,,コメディー,警察官 警察,
ごっどはんどてる,ゴッドハンド輝,山本航暉,天碕莞爾,,59,,ドラマ,医療 外科 医師,ド
こづれおおかみ,子連れ狼,小島剛夕,小池一夫,,19,完結,時代劇 ドラマ,復讐 殺し屋,映
こぼちゃん,コボちゃん,植田まさし,,,60,完結,4コマ,,
こみっくぱーてぃーよんこままんがげきじょう,こみっくパーティー4コママンガ劇場,アンソロジー,,,4,完結,４コマ,,
ごようきば,御用牙,神田たけ志,小池一夫,,23,完結,時代劇,同心,
ごるごさーてぃーん,ゴルゴ13,さいとうたかを,,,162,,アクション,テロリスト スナイパー,
こんじきのがっしゅ,金色のガッシュ!!,雷句誠,,週刊少年サンデー,33,完結,フクション ファンタジー,,ア
さーくるげーむ,サークルゲーム,村生ミオ,,ヤングチャンピオン,22,完結,,,
さいとうたかをじせんしゅう,さいとう・たかを自選集,さいとうたかを,,,8,完結,短編集,,
さいぼーぐぜろぜろないん,サイボーグ009,石ノ森章太郎,,,10,完結,SF アクション,,ド
さいれん,PSYREN -サイレン-,岩代俊明,,岩代俊明,16,完結,サスペンス,,
さがしやはげたかとうじょう,捜し屋はげ鷹登場!!,さいとうたかを,,,3,完結,,,
さきがけおとこじゅく,魁!!男塾,宮下あきら,,週刊少年ジャンプ,34,完結,学園 ギャグ,,ア 映 ゲ
さきがけくろまてぃーこうこう,魁!!クロマティ高校,	野中英次,,魁!!クロマティ高校,17,完結,学園 ギャグ,,ア
さざえさん,サザエさん,長谷川町子,,,68,完結,4コマ,,
さばいばるにほんかいめつ,サバイバル日本壊滅,さいとうたかを,,,1,完結,,,
さはら,サハラ,平野仁,小池一夫,,7,完結,戦争 ドラマ,傭兵,
さむらいうさぎ,サムライうさぎ,福島鉄平,,週刊少年ジャンプ,8,完結,時代劇 ドラマ,侍,
さもんないとくらふとそーどものがたりつーよんこままんがげきじょう,サモンナイト クラフトソード物語2 4コママンガ劇場,アンソロジー,,,1,完結,４コマ,,
さもんないとすりーよんこままんがげきじょう,サモンナイト3 4コママンガ劇場,アンソロジー,,,1,完結,４コマ,,
さよならぜつぼうせんせい,さよなら絶望先生,久米田康治,,週刊少年マガジン,27,,ギャグ,学園 教師,
さんごくし,三国志,横山光輝,,,60,完結,ドラマ,歴史 戦争 中国,
さんねんきめんぐみ,3年奇面組,新沢基栄,,週刊少年ジャンプ,6,完結 続編あり,学園 ギャグ,,
じぇんとるまん,ジェントル万,新谷かおる,,,3,完結,スポーツ,モータースポーツ F1,
しかくうらみあおい,刺客怨み葵,さいとうたかを,,,4,完結,,,
しかけにんふじえだばいあん,仕掛人藤枝梅安,さいとうたかを,池波正太郎,コミック乱ツインズ,26,,時代劇 アクション,殺し屋,ド 映
しき,史記,横山光輝,,,15,完結,歴史 ドラマ,中国,
じごくせんせいぬ～べ～,地獄先生ぬ～べ～,岡野剛,真倉翔,週刊少年ジャンプ,31,完結,学園 コメディー ホラー,妖怪 教師,ア
しじょうさいきょうのでしけんいち,史上最強の弟子ケンイチ,松江名俊,,週刊少年サンデー,44,,コメディー,格闘技,ア
しずかなるどん,静かなるドン,新田たつお,,,100,,コメディー,暴力団 組長 下着,
じっけんにんぎょうだみーおすかー,実験人形ダミー・オスカー,叶精作,小池一夫,,19,完結,ドラマ,人形師,
してぃーはんたー,CITY HUNTER,北条司,,週刊少年ジャンプ,35,完結 続編あり,アクション コメディー,,ア 映 ド
しどにあのきし,シドニアの騎士,弐瓶勉,,,6,,,,
しばいたろか,しばいたろか,こしばしげる,,ヤングチャンピオン,20,完結,,,
しもかりはんじろう,下苅り半次郎,神江里見,小池一夫,,5,完結,時代劇,,
じゃりんこちえ,じゃりン子チエ―チエちゃん奮戦記,はるき 悦巳,,,67,完結,コメディー,,
じゃんぐるはいつもはれのちぐぅ,ジャングルはいつもハレのちグゥ,	金田一蓮十郎,,月刊少年ガンガン,10,完結,コメディー,,ア
じゅうきこうへいぜのん,重機甲兵ゼノン,神崎将臣,,,4,完結,SF,,
しゅごきゃら,しゅごキャラ!,PEACH-PIT,,なかよし,12,完結,ファンタジー,,ア
しゅらゆきひめ,修羅雪姫,上村一夫,小池一夫,,2,完結,アクション,復讐 殺し屋,
じゅり,樹里,佐藤宏之,,ヤングチャンピオン,1,,,,
じょいれいか,女医レイカ,嶺岸信明,剣名舞,,18,完結,ドラマ,医療 心療科,
しょうぎのこ,将棋の子,菊池昭夫,大崎善生,ヤングチャンピオン,1,,,将棋,
しょうねんしっかく,少年失格,高口里純,,ヤングチャンピオン,3,完結,,,
しょうねんしんかろんぷらす,少年進化論plus,くさなぎ俊祈,,,5,完結,,,
しょうねんのまちぜふ,少年の町・ZF,平野仁,小池一夫,,8,完結,SF,,
しょくぎょうえーぶいかんとく,職業・AV監督,井浦秀夫,カンパニー松尾,ヤングチャンピオン,5,完結,,AV,
じょじょのきみょうなぼうけん,ジョジョの奇妙な冒険,荒木飛呂彦,,,63,,アクション ファンタジー,,
しんあがってなんぼたいちよなくな,新・上ってなンボ太一よ泣くな,叶精作,小池一夫,,36,完結 続編 続編あり,スポーツ ドラマ,ゴルフ,
じんぎ,JINGI,立原あゆみ,,ヤングチャンピオン,33,,ドラマ,暴力団,
じんぎつー,JINGI Ⅱ,立原あゆみ,,ヤングチャンピオン,1,,ドラマ,暴力団,
